latitude,longitude
10.9618883, 106.883972
10.9618263, 106.883957
10.9618921, 106.883957
10.9618769, 106.883965
10.9619217, 106.883926
10.9619665, 106.883942
10.9618931, 106.884018
10.9619284, 106.884018
10.9619551, 106.884026
10.96192, 106.88398
10.9618721, 106.883934
10.9618855, 106.883949
10.9619436, 106.883965
10.96194, 106.884
10.9619417, 106.884018
10.96192, 106.8839
10.9619551, 106.8839
10.9619045, 106.883888
10.9618654, 106.883835
10.96193, 106.883926
10.9620237, 106.883934
10.9619484, 106.883911
10.9619446, 106.883965
10.9619818, 106.883926
10.96193, 106.883934
10.9619732, 106.883896
10.9619818, 106.883888
10.961977, 106.883919
10.9619751, 106.883995
10.9619684, 106.883926
10.9619236, 106.883911
10.9618931, 106.883926
10.961915, 106.883865
10.9618483, 106.883919
10.9619446, 106.8839
10.9619379, 106.883888
10.9618683, 106.883972
10.9619446, 106.883949
10.9620171, 106.883965
10.96191, 106.883957
10.9619417, 106.883965
10.9619417, 106.883965
10.9619436, 106.883942
10.961937, 106.883972
10.9619017, 106.883888
10.96196, 106.883919
10.9620466, 106.883934
10.9619379, 106.883942
10.961895, 106.883965
10.9618864, 106.883911
10.9619751, 106.883942
10.9619169, 106.883957
10.9619131, 106.883957
10.9619112, 106.883957
10.9619112, 106.883957
10.96191, 106.883934
10.9618635, 106.883926
10.96191, 106.883942
10.9619665, 106.883926
10.9619484, 106.883934
10.96195, 106.883934
10.9619532, 106.883934
10.9619532, 106.883934
10.9619532, 106.883942
10.9619532, 106.883942
10.9619665, 106.883949
10.9620152, 106.883682
10.9621248, 106.883263
10.9622765, 106.882439
10.9623585, 106.882347
10.9624081, 106.882286
10.9624767, 106.882217
10.9625187, 106.88221
10.9626646, 106.882332
10.9628153, 106.882454
10.96407, 106.883606
10.9654779, 106.885185
10.9664717, 106.8865
10.9666147, 106.8865
10.9665947, 106.886505
10.9664249, 106.886284
10.9662914, 106.886108
10.96529, 106.884781
10.9639282, 106.883308
10.9624233, 106.881866
10.9609766, 106.880486
10.9593487, 106.878937
10.9576979, 106.877342
10.9560747, 106.875786
10.9544363, 106.874252
10.9528284, 106.872871
10.95118, 106.871681
10.9496937, 106.870628
10.9481869, 106.869621
10.9466419, 106.868927
10.9446354, 106.868462
10.9425, 106.86837
10.9405966, 106.8683
10.9396086, 106.868309
10.9388151, 106.868286
10.9370136, 106.868248
10.935153, 106.8682
10.9329138, 106.868164
10.9308786, 106.868118
10.9297934, 106.868111
10.9290552, 106.868095
10.9290218, 106.868095
10.9290285, 106.868088
10.9286566, 106.868073
10.9281464, 106.868019
10.9264736, 106.867668
10.92473, 106.867
10.9230337, 106.865906
10.9214916, 106.864456
10.9199553, 106.862915
10.91845, 106.861374
10.91694, 106.859848
10.9152069, 106.8581
10.9136381, 106.856529
10.91212, 106.855
10.9106131, 106.85347
10.9091263, 106.851967
10.9076633, 106.8505
10.9063749, 106.84919
10.905138, 106.847694
10.90407, 106.845978
10.9033947, 106.8442
10.9027748, 106.842453
10.9020815, 106.840553
10.9013987, 106.838692
10.9006748, 106.836746
10.8999186, 106.834625
10.899127, 106.832344
10.898303, 106.830078
10.8974218, 106.827896
10.896287, 106.826134
10.8949251, 106.824631
10.8933086, 106.823357
10.8915854, 106.8221
10.8897438, 106.82074
10.8881016, 106.819534
10.8864, 106.818283
10.8845968, 106.816963
10.8828, 106.815636
10.88102, 106.814339
10.8793583, 106.81311
10.8776579, 106.811821
10.8760452, 106.810638
10.87422, 106.809319
10.8722715, 106.807884
10.8702869, 106.806419
10.86858, 106.804817
10.8671179, 106.802948
10.8658915, 106.80088
10.8648167, 106.799042
10.864398, 106.7972
10.8646336, 106.79541
10.8654318, 106.793709
10.866477, 106.792046
10.8670731, 106.790405
10.8672285, 106.789276
10.8672829, 106.787979
10.86735, 106.786308
10.8674335, 106.78437
10.867528, 106.783424
10.8675985, 106.782921
10.8678036, 106.782
10.8680029, 106.781387
10.8681831, 106.780869
10.8682785, 106.780579
10.86828, 106.780571
10.8683233, 106.780434
10.8683863, 106.780251
10.8685036, 106.779915
10.8685064, 106.779907
10.8685446, 106.779724
10.868598, 106.779533
10.8687983, 106.778992
10.8688869, 106.778748
10.86889, 106.778748
10.8689966, 106.778404
10.8690767, 106.778152
10.8692513, 106.777649
10.8692484, 106.777641
10.8692465, 106.777641
10.8693666, 106.77726
10.86959, 106.776627
10.869915, 106.775658
10.8700037, 106.775345
10.8700933, 106.775017
10.8702154, 106.774635
10.8703785, 106.774132
10.870575, 106.7735
10.8706837, 106.773224
10.8708649, 106.772667
10.8710346, 106.772133
10.8711786, 106.771683
10.8712215, 106.771538
10.87122, 106.771538
10.8713, 106.771317
10.8713846, 106.771057
10.8715715, 106.7705
10.871685, 106.770164
10.87169, 106.770157
10.8717031, 106.770119
10.8718252, 106.769714
10.8719788, 106.769249
10.8724613, 106.767845
10.8730335, 106.766136
10.8736067, 106.764427
10.8742514, 106.7625
10.87474, 106.760994
10.8749046, 106.760422
10.8749151, 106.760353
10.87492, 106.76033
10.8749218, 106.760323
10.87501, 106.76001
10.8750553, 106.759857
10.8753481, 106.75869
10.8756151, 106.7573
10.8759212, 106.755493
10.8761148, 106.753883
10.8759, 106.752541
10.8754854, 106.751114
10.8749666, 106.749489
10.8746986, 106.748718
10.8740988, 106.746887
10.8735371, 106.745155
10.8729362, 106.743309
10.8723288, 106.741341
10.871973, 106.739189
10.871727, 106.7374
10.8711815, 106.735481
10.8704319, 106.733871
10.8696346, 106.732269
10.8687563, 106.730515
10.8678284, 106.728722
10.866848, 106.726852
10.8658419, 106.724892
10.864933, 106.723022
10.8639545, 106.721031
10.8632765, 106.71965
10.8624887, 106.718155
10.8622637, 106.71772
10.8617382, 106.7167
10.8611917, 106.715652
10.8607655, 106.714828
10.8602152, 106.713745
10.8594236, 106.712212
10.8588467, 106.710434
10.8588247, 106.709587
10.8588467, 106.709412
10.8588467, 106.709412
10.8588848, 106.709061
10.8589067, 106.70887
10.85908, 106.707512
10.8592052, 106.706535
10.8592014, 106.706535
10.8591967, 106.706528
10.8592548, 106.706062
10.8593369, 106.705437
10.8595448, 106.703857
10.8597851, 106.70195
10.859808, 106.701729
10.8600464, 106.699821
10.8602562, 106.698181
10.8604164, 106.696938
10.86052, 106.695992
10.8605738, 106.6953
10.8605719, 106.6953
10.8605986, 106.6949
10.8606319, 106.694435
10.86069, 106.693466
10.8607216, 106.692924
10.86072, 106.692924
10.860755, 106.69236
10.8608065, 106.69162
10.8615017, 106.680794
10.8615379, 106.680336
10.8615437, 106.680229
10.8617334, 106.677628
10.8617535, 106.677444
10.8617582, 106.677284
10.861762, 106.665092
10.8617115, 106.663452
10.86169, 106.662819
10.8616762, 106.661629
10.8617487, 106.659821
10.8617964, 106.658623
10.8618546, 106.657585
10.86186, 106.657547
10.8618565, 106.657547
10.8618746, 106.657249
10.86194, 106.656616
10.8620167, 106.655472
10.8624582, 106.654953
10.8642168, 106.654625
10.8658237, 106.65451
10.8672686, 106.654495
10.8689814, 106.654427
10.8697653, 106.654411
10.86978, 106.654411
10.86998, 106.6544
10.8700371, 106.654282
10.8701029, 106.653542
10.8706131, 106.652527
10.8714848, 106.6515
10.8716555, 106.651344
10.8727264, 106.650436
10.8734188, 106.650864
10.8748312, 106.651093
10.8754864, 106.651115
10.875658, 106.650215
10.8758068, 106.649391
10.8758163, 106.649338
10.87617, 106.6488
10.8763571, 106.647606
10.87651, 106.646431
10.876688, 106.644966
10.8768454, 106.6438
10.87701, 106.6425
10.8771219, 106.641617
10.8772421, 106.640686
10.87774, 106.639511
10.8784018, 106.638336
10.878602, 106.637978
10.8789263, 106.637405
10.8793831, 106.6366
10.8794632, 106.636444
10.8798571, 106.635765
10.8803616, 106.634865
10.8836946, 106.634209
10.8847866, 106.63166
10.8836451, 106.634346
10.883585, 106.63446
10.8835831, 106.63446
10.883585, 106.63446
10.8835955, 106.634468
10.8835783, 106.634476
10.8835764, 106.634476
10.8835783, 106.634483
10.8835764, 106.634483
10.8835764, 106.634483
10.8835754, 106.634483
10.8835754, 106.634483
10.8835735, 106.634483
10.883585, 106.634468
10.883585, 106.634468
10.8835764, 106.634468
10.8835764, 106.634468
10.8835964, 106.634338
10.8835964, 106.634338
10.8834629, 106.634384
10.8834562, 106.634453
10.88352, 106.6345
10.88343, 106.634926
10.8833084, 106.635025
10.88325, 106.635033
10.88324, 106.63504
10.8829746, 106.635033
10.8825321, 106.634781
10.8819447, 106.63443
10.8813982, 106.634079
10.88105, 106.6339
10.8809519, 106.63385
10.8809519, 106.63385
10.8807917, 106.633987
10.8806982, 106.634155
10.8801546, 106.635162
10.8800516, 106.635353
10.8800449, 106.635361
10.8799047, 106.635643
10.87968, 106.636078
10.8790779, 106.637184
10.87845, 106.6383
10.8777, 106.63958
10.87725, 106.640793
10.8771381, 106.641655
10.87702, 106.642448
10.876853, 106.643837
10.8768015, 106.644272
10.8766632, 106.645309
10.8618469, 106.653465
10.8618546, 106.6539
10.8618364, 106.654961
10.8617468, 106.656715
10.8616648, 106.6584
10.8615732, 106.660263
10.86153, 106.661545
10.8615379, 106.661972
10.861537, 106.661972
10.8615446, 106.662239
10.8615446, 106.662308
10.8615513, 106.662704
10.8615513, 106.662743
10.8615532, 106.66275
10.8615732, 106.663017
10.8615866, 106.663368
10.8616219, 106.664307
10.8616486, 106.66539
10.8616514, 106.665863
10.8616514, 106.665863
10.8616581, 106.666206
10.86165, 106.666695
10.8616314, 106.667885
10.86164, 106.6688
10.8616438, 106.668839
10.8616447, 106.668839
10.8616447, 106.669006
10.8616438, 106.669182
10.8616571, 106.669991
10.86167, 106.670967
10.8616714, 106.670982
10.8616667, 106.670982
10.8616753, 106.671494
10.8616934, 106.672432
10.8617449, 106.674911
10.8616152, 106.677475
10.8614283, 106.679886
10.8612947, 106.681923
10.8611479, 106.68399
10.8610287, 106.685989
10.860898, 106.688034
10.8607931, 106.689804
10.8607454, 106.690514
10.8607454, 106.690514
10.8607235, 106.690826
10.860673, 106.691505
10.860568, 106.693306
10.8604746, 106.694786
10.8603687, 106.69603
10.8601532, 106.697853
10.859952, 106.699188
10.8597136, 106.70105
10.8594551, 106.703072
10.85927, 106.704483
10.859252, 106.70459
10.8592119, 106.70491
10.8592033, 106.704971
10.85903, 106.70649
10.8587914, 106.708359
10.8585949, 106.710037
10.8585281, 106.710587
10.8584681, 106.710564
10.85822, 106.710526
10.8579588, 106.71048
10.8574667, 106.71051
10.8568182, 106.7106
10.8565168, 106.710716
10.8563566, 106.710754
10.8563566, 106.710762
10.8559771, 106.710884
10.8555183, 106.711006
10.8548813, 106.71109
10.8548813, 106.7111
10.8549013, 106.711151
10.8549385, 106.711121
10.8550663, 106.71109
10.8555021, 106.710983
10.8563232, 106.71077
10.85691, 106.710617
10.8569231, 106.710617
10.8569431, 106.710587
10.856945, 106.710587
10.8569365, 106.710556
10.8569365, 106.710556
10.85694, 106.710556
10.85694, 106.710556
10.8569412, 106.710548
10.856945, 106.710548
10.8569517, 106.710548
10.8569536, 106.710548
10.8569546, 106.710548
10.8569565, 106.710548
10.8569231, 106.710556
10.8569546, 106.710533
10.8569546, 106.710533
10.8569431, 106.710571
10.8569269, 106.7106
10.8569269, 106.7106
10.8569269, 106.7106
10.8569279, 106.7106
10.8569584, 106.710571
10.8569632, 106.710548
10.8569651, 106.710548
10.8569651, 106.710548
10.856988, 106.710526
10.856988, 106.710526
10.856987, 106.710526
10.8569851, 106.710526
10.8569813, 106.710533
10.8569813, 106.710533
10.8569679, 106.710541
10.8569679, 106.710541
10.85697, 106.710541
10.8569717, 106.710548
10.856967, 106.710564
10.856967, 106.710564
10.8569517, 106.710564
10.8569479, 106.710564
10.85695, 106.710556
10.8569584, 106.710533
10.8569584, 106.710533
10.8568487, 106.710609
10.8568468, 106.710609
10.856823, 106.710587
10.8568134, 106.7106
10.8568134, 106.7106
10.8571835, 106.710533
10.8574953, 106.71048
10.8578987, 106.710442
10.8578987, 106.710442
10.8581533, 106.7105
10.8584414, 106.710533
10.8586454, 106.711105
10.8591433, 106.712364
10.8600035, 106.714
10.86042, 106.715019
10.8608131, 106.715912
10.8608179, 106.715927
10.8610888, 106.715973
10.8613567, 106.715683
10.8607664, 106.71463
10.859992, 106.713234
10.859355, 106.712
10.8588619, 106.710114
10.8589649, 106.70842
10.8590021, 106.707748
10.8591185, 106.706757
10.8592367, 106.705719
10.8592367, 106.705719
10.8591471, 106.70562
10.8590765, 106.706367
10.8588467, 106.708252
10.858695, 106.710243
10.8587313, 106.710541
10.85876, 106.710732
10.8587837, 106.710854
10.8590183, 106.711655
10.8594284, 106.712509
10.8599186, 106.71344
10.8603649, 106.71434
10.8609419, 106.715424
10.8614864, 106.716476
10.8621721, 106.717804
10.8627748, 106.718987
10.8634033, 106.720222
10.8643036, 106.722084
10.8651571, 106.723824
10.8659534, 106.725456
10.8666916, 106.726891
10.8674564, 106.728363
10.8682814, 106.729958
10.8691635, 106.731682
10.8698854, 106.733131
10.8706684, 106.7347
10.87123, 106.736053
10.8714314, 106.736786
10.8716965, 106.738258
10.8719454, 106.740059
10.8723536, 106.741951
10.8729467, 106.743774
10.8735285, 106.74556
10.8740788, 106.747269
10.8746767, 106.7491
10.8752251, 106.750786
10.8756685, 106.752159
10.8757133, 106.752312
10.8757181, 106.75235
10.8757753, 106.752525
10.87583, 106.752693
10.8759279, 106.753105
10.8760014, 106.754005
10.8697462, 106.775558
10.8695765, 106.77607
10.8694668, 106.776413
10.8968382, 106.827255
10.8968515, 106.827286
10.89685, 106.827286
10.93847, 106.868347
10.9406815, 106.868362
10.9429712, 106.868423
10.9453716, 106.868637
10.9475765, 106.8694
10.94894, 106.870361
10.939683, 106.883736
10.9391785, 106.889404
10.9391766, 106.889427
10.9392729, 106.889381
10.9393263, 106.889442
10.9394121, 106.889526
10.939703, 106.8898
10.9397068, 106.8898
10.9395313, 106.889717
10.9394054, 106.889587
10.9393, 106.889458
10.9392929, 106.889442
10.9392719, 106.889236
10.9394083, 106.889084
10.9402647, 106.888176
10.9404917, 106.887955
10.9404945, 106.887955
